"Family","p_value","statistic","MI_mean","CON_mean","Effect_size","note","significance"
"Ackermannviridae",0.0408251942032211,1097,0.127491180325174,-0.100365397277269,0.227856577602444,,"*"
"Aliceevansviridae",0.287693028882079,751,-0.0554853076592344,0.043679923050889,-0.0991652307101234,,"NS"
"Allomimiviridae",0.800821692531796,898,-0.0179391015469345,0.0141222714305652,-0.0320613729774997,,"NS"
"Andersonviridae",0.0497992777952082,940,0.266627618328535,-0.209898337833111,0.476525956161646,,"*"
"Armatusviridae",0.715624475858295,856,-0.0366842928716031,0.02887912417551,-0.0655634170471131,,"NS"
"Autographiviridae",0.928163130618933,859,0.0794331095959636,-0.0625324479798015,0.141965557575765,,"NS"
"Casjensviridae",0.353384716755675,973,0.055729709612411,-0.0438723245884935,0.0996020342009045,,"NS"
"Chaseviridae",0.260052496381809,995,0.102623133497021,-0.0807884242423316,0.183411557739352,,"NS"
"Circoviridae",0.940065155445311,865,-0.0270268566184893,0.0212764615932702,-0.0483033182117596,,"NS"
"Colingsworthviridae",0.0497992777952082,940,0.280393124507697,-0.220735012910323,0.50112813741802,,"*"
"Crevaviridae",0.070666981544832,1065,1.16810875037375,-0.919574973698484,2.08768372407223,,"NS"
"Demerecviridae",0.460009509290838,787,-0.059399425739121,0.0467612500499406,-0.106160675789062,,"NS"
"Draupnirviridae",0.173580680281427,976,0.401339565738466,-0.315948168772843,0.71728773451131,,"NS"
"Drexlerviridae",0.570280392730866,806,0.0403248624567658,-0.0317451044872398,0.0720699669440056,,"NS"
"Duneviridae",0.843245977138031,860,-0.0402325903642156,0.0316724647548004,-0.071905055119016,,"NS"
"Epsomviridae",0.144388459975241,1032,0.147968658971798,-0.116485965573544,0.264454624545342,,"NS"
"Felixviridae",0.00970756673220377,631,-0.6915647988584,0.544423352292778,-1.23598815115118,,"**"
"Guelinviridae",0.84277629834763,847,-0.220652182715856,0.17370490979759,-0.394357092513446,,"NS"
"Helgolandviridae",0.430248956355991,917,0.14302200667072,-0.112591792485467,0.255613799156187,,"NS"
"Herelleviridae",0.487819868017678,792,-0.0122154487269063,0.00961641708287948,-0.0218318658097858,,"NS"
"Inoviridae",0.510705238709642,796,0.00197819667700306,-0.00155730376699907,0.00353550044400213,,"NS"
"Intestiviridae",0.0561513480554917,1065,1.15021150243952,-0.905485650856642,2.05569715329616,,"NS"
"Konodaiviridae",0.906753751346313,883,-0.0494005716187739,0.0388898116998873,-0.0882903833186612,,"NS"
"Kyanoviridae",0.271664856530473,992,0.0974872572109666,-0.0767452875916155,0.174232544802582,,"NS"
"Lakviridae",0.0937606451267304,1056,0.0519989467483711,-0.0409353410572329,0.092934287805604,,"NS"
"Mesyanzhinovviridae",0.162542569880047,1025,0.225400739969208,-0.177443135720442,0.40284387568965,,"NS"
"Microviridae",0.522101962003894,941,0.249521375235272,-0.196431720929895,0.445953096165167,,"NS"
"Mimiviridae",0.165270758951589,1024,0.105362689758634,-0.0829450961929673,0.188307785951601,,"NS"
"Nixviridae",0.864551647479892,875,0.105368862998717,-0.0829499559777215,0.188318818976438,,"NS"
"Orlajensenviridae",0.317249947050871,758,-0.123592035929834,0.0972958580724216,-0.220887894002255,,"NS"
"Peduoviridae",0.89961959252296,855,-0.0132346123740397,0.0104187374008412,-0.0236533497748809,,"NS"
"Phycodnaviridae",0.227294192263143,1004,0.196505721375565,-0.154695993423321,0.351201714798886,,"NS"
"Rountreeviridae",0.17877105663467,1017,0.557362716653855,-0.438774904599843,0.996137621253699,,"NS"
"Salasmaviridae",0.678532658731353,916,0.126608923470361,-0.0996708546468804,0.226279778117242,,"NS"
"Schitoviridae",0.0538340831935265,1084,0.375817764308629,-0.295856537859988,0.671674302168618,,"NS"
"Speroviridae",0.679677822889227,908,0.104879617419152,-0.0825648052023162,0.187444422621468,,"NS"
"Steigviridae",0.0323083194333255,1067,0.991474534629991,-0.780522505985316,1.77199704061531,,"*"
"Straboviridae",0.335003511542565,762,-0.0272658391415554,0.0214645967710183,-0.0487304359125737,,"NS"
"Suoliviridae",0.112569159102387,1045.5,0.816064486844995,-0.642433744963084,1.45849823180808,,"NS"
"Toyamaviridae",0.70175669901247,826.5,-0.0465462670640396,0.0366428059865821,-0.0831890730506218,,"NS"
"Umezonoviridae",0.621025617235742,844.5,-0.00767671743982076,0.00604337330368141,-0.0137200907435022,,"NS"
"Unclassified",0.54008181193412,801,0.0283819574292161,-0.0223432430825748,0.0507252005117909,,"NS"
"Usuviridae",0.710255721717597,848,-0.127818275938017,0.100622898078858,-0.228441174016875,,"NS"
"Vilmaviridae",0.108757198159146,1048,0.20653750023904,-0.16259335125201,0.369130851491049,,"NS"
"Zierdtviridae",0.392018264981634,965,0.0251152926755471,-0.019771613382875,0.0448869060584221,,"NS"
"Zobellviridae",0.864551647479892,875,0.0911363935887447,-0.0717456715485956,0.16288206513734,,"NS"
