SampleID	Group
CON1	Control
CON10	Control
CON11	Control
CON12	Control
CON13	Control
CON14	Control
CON15	Control
CON16	Control
CON17	Control
CON18	Control
CON19	Control
CON2	Control
CON20	Control
CON21	Control
CON22	Control
CON23	Control
CON24	Control
CON25	Control
CON26	Control
CON27	Control
CON28	Control
CON29	Control
CON3	Control
CON30	Control
CON31	Control
CON32	Control
CON33	Control
CON34	Control
CON35	Control
CON36	Control
CON37	Control
CON38	Control
CON39	Control
CON4	Control
CON40	Control
CON41	Control
CON42	Control
CON43	Control
CON44	Control
CON45	Control
CON46	Control
CON47	Control
CON5	Control
CON6	Control
CON7	Control
CON8	Control
CON9	Control
MI1	MI
MI10	MI
MI11	MI
MI12	MI
MI13	MI
MI14	MI
MI15	MI
MI16	MI
MI17	MI
MI18	MI
MI19	MI
MI2	MI
MI20	MI
MI21	MI
MI22	MI
MI23	MI
MI24	MI
MI25	MI
MI26	MI
MI27	MI
MI28	MI
MI29	MI
MI3	MI
MI31	MI
MI32	MI
MI33	MI
MI34	MI
MI35	MI
MI36	MI
MI37	MI
MI38	MI
MI4	MI
MI5	MI
MI6	MI
MI7	MI
MI8	MI
MI9	MI
